Model,Dataset,Segment_Length,Overlap,Missingness,MAF_Bin,Num_SNPs,Bin_Acc,Bin_R2,Bin_Precision,Bin_Recall,Bin_F1,Overall_Acc,Overall_R2,Overall_Precision,Overall_Recall,Overall_F1
BiUNet,SGDP,128,16,0.05,10%~20%,23204,0.993856532,0.984623474,0.991003156,0.990996943,0.990999729,0.995121974,0.987203559,0.992110731,0.993035212,0.992572006
BiUNet,SGDP,128,16,0.05,20%~30%,15873,0.992010924,0.982425071,0.991251169,0.990578751,0.990914328,0.995121974,0.987203559,0.992110731,0.993035212,0.992572006
BiUNet,SGDP,128,16,0.05,30%~40%,15835,0.992959593,0.984158347,0.992501689,0.992843283,0.992671821,0.995121974,0.987203559,0.992110731,0.993035212,0.992572006
BiUNet,SGDP,128,16,0.05,40%~50%,13096,0.993150233,0.983872765,0.992893119,0.993154494,0.993022488,0.995121974,0.987203559,0.992110731,0.993035212,0.992572006
BiUNet,SGDP,128,16,0.15,0.1%~0.5%,2631,0.997644633,0.9342615,0.970849395,0.971644034,0.971218517,0.982487187,0.955652732,0.974632731,0.972696965,0.973661751
BiUNet,SGDP,128,16,0.15,0.5%~1%,3398,0.997387055,0.928640274,0.964043715,0.974332477,0.969132591,0.982487187,0.955652732,0.974632731,0.972696965,0.973661751
BiUNet,SGDP,128,16,0.15,1%~10%,43281,0.988600219,0.933496627,0.966016149,0.953294185,0.959582221,0.982487187,0.955652732,0.974632731,0.972696965,0.973661751
BiUNet,SGDP,128,16,0.15,10%~20%,23204,0.978081431,0.947041092,0.970456577,0.965437417,0.967929254,0.982487187,0.955652732,0.974632731,0.972696965,0.973661751
BiUNet,SGDP,128,16,0.15,20%~30%,15873,0.975200884,0.945802767,0.972377101,0.97177732,0.972075989,0.982487187,0.955652732,0.974632731,0.972696965,0.973661751
BiUNet,SGDP,128,16,0.15,30%~40%,15835,0.977752103,0.950394748,0.976619958,0.977188409,0.97690234,0.982487187,0.955652732,0.974632731,0.972696965,0.973661751
BiUNet,SGDP,128,16,0.15,40%~50%,13096,0.977736089,0.948981757,0.977059077,0.977536946,0.977292463,0.982487187,0.955652732,0.974632731,0.972696965,0.973661751
BiUNet,SGDP,128,16,0.25,0.1%~0.5%,2631,0.996204923,0.895827639,0.961950363,0.947454318,0.954604845,0.972583259,0.93119364,0.961163258,0.956496014,0.958811568
BiUNet,SGDP,128,16,0.25,0.5%~1%,3398,0.995592327,0.881216007,0.951654215,0.94961107,0.950538903,0.972583259,0.93119364,0.961163258,0.956496014,0.958811568
BiUNet,SGDP,128,16,0.25,1%~10%,43281,0.981279314,0.893078692,0.948859803,0.917721712,0.932798761,0.972583259,0.93119364,0.961163258,0.956496014,0.958811568
BiUNet,SGDP,128,16,0.25,10%~20%,23204,0.966006057,0.917870299,0.954753903,0.945889174,0.950261369,0.972583259,0.93119364,0.961163258,0.956496014,0.958811568
BiUNet,SGDP,128,16,0.25,20%~30%,15873,0.962014303,0.917865807,0.957737045,0.956760888,0.957246005,0.972583259,0.93119364,0.961163258,0.956496014,0.958811568
BiUNet,SGDP,128,16,0.25,30%~40%,15835,0.965761499,0.924218884,0.96408344,0.964902087,0.964489167,0.972583259,0.93119364,0.961163258,0.956496014,0.958811568
BiUNet,SGDP,128,16,0.25,40%~50%,13096,0.965840252,0.922060862,0.964845097,0.965568916,0.965190289,0.972583259,0.93119364,0.961163258,0.956496014,0.958811568
