method,missing,chr,MAF_bin,Num_SNPs,Bin_Acc,Bin_R2,Bin_Precision,Bin_Recall,Bin_F1,Bin_Acc_sd,Bin_R2_sd,Bin_Precision_sd,Bin_Recall_sd,Bin_F1_sd,Overall Acc,Overall R2,Overall Precision,Overall Recall,Overall F1
beagle,25%,18, 10%~20%,47158.0,0.8891050652416698,0.910328149241893,0.7475587584100948,0.7470910409452118,0.747320491323222,0.0027841458295306486,0.002109619931115751,0.0064136511510681955,0.006365467429595055,0.006390279999660151,0.8921810571706,0.9131755628259389,0.7475867195258502,0.747338579821715,0.7474607131685499
beagle,25%,18, 20%~30%,34083.0,0.831660723065529,0.8822146166593411,0.746265747224577,0.7463782642100926,0.7463161417205487,0.004660957655905882,0.003059552969062546,0.007080304441286487,0.007054030358195305,0.007069750474676848,0.8921810571706,0.9131755628259389,0.7475867195258502,0.747338579821715,0.7474607131685499
beagle,25%,18, 30%~40%,29152.0,0.7980922354721751,0.8600343081163171,0.7467099650821977,0.7470167657062258,0.7468607657777531,0.00421414442441828,0.002717983581905961,0.005312617117930869,0.005295483611413276,0.00530347125696273,0.8921810571706,0.9131755628259389,0.7475867195258502,0.747338579821715,0.7474607131685499
beagle,25%,18, 40%~50%,27219.0,0.7801043054817991,0.8426569892956262,0.7471318192293112,0.7475501594849575,0.7473364803146332,0.004949765587781639,0.0032469504690766857,0.005737979795845869,0.005701430165524438,0.0057164453042808224,0.8921810571706,0.9131755628259389,0.7475867195258502,0.747338579821715,0.7474607131685499
beagle,25%,18, Overall,247199.0,0.8921810571706,0.9131755628259389,0.7475867195258502,0.747338579821715,0.7474607131685499,0.00240149226908158,0.0018099969544938801,0.005687087290292418,0.005658801502285907,0.005672619050231553,0.8921810571706,0.9131755628259389,0.7475867195258502,0.747338579821715,0.7474607131685499
beagle,5%,19, 0.1%~0.5%,6837.0,0.9864141635751992,0.8718748226470893,0.7477744968326379,0.7485534178735401,0.748129469031544,0.0002450876725725692,0.002084329885380703,0.004530265854378619,0.004524427134806642,0.004541517754815959,0.8928059400066548,0.9113474535335963,0.7508788173714792,0.7508780091432047,0.7508670503793234
beagle,5%,19, 0.5%~1%,7548.0,0.9858140225787283,0.8898414967011562,0.7527464705965109,0.7531990284116356,0.7529393764580318,0.0006091991558836316,0.005054626748597838,0.010590491216544045,0.010595094095255502,0.010622247336970552,0.8928059400066548,0.9113474535335963,0.7508788173714792,0.7508780091432047,0.7508670503793234
beagle,5%,19, 1%~10%,68923.0,0.9622883947347479,0.920171331109453,0.751942919408982,0.7522663696907284,0.7520966766726424,0.00013901846243978476,0.0002719860968584413,0.000922619724847988,0.0009269106221865603,0.0009213209019866273,0.8928059400066548,0.9113474535335963,0.7508788173714792,0.7508780091432047,0.7508670503793234
beagle,5%,19, 10%~20%,40538.0,0.892001257331318,0.9102909176449993,0.7523372168322665,0.7522951136106736,0.752287048096893,0.0003986885581063886,0.00032325761510119873,0.0009278930995732119,0.0009282912721772538,0.0009268824598695286,0.8928059400066548,0.9113474535335963,0.7508788173714792,0.7508780091432047,0.7508670503793234
beagle,5%,19, 20%~30%,26936.0,0.8355023355023355,0.8890444289782303,0.7497361835306147,0.7497129074072157,0.7497113734741508,0.000965004962831044,0.0006649777112132388,0.001466358082158336,0.0014666769606274696,0.0014676847634901259,0.8928059400066548,0.9113474535335963,0.7508788173714792,0.7508780091432047,0.7508670503793234
beagle,5%,19, 30%~40%,23633.0,0.8018028847694992,0.8653998272176159,0.7496801741121466,0.7497172525541922,0.7496754272866895,0.0011140656074299427,0.0007599963595410216,0.001439171115036416,0.0014352516073176604,0.0014199726085160492,0.8928059400066548,0.9113474535335963,0.7508788173714792,0.7508780091432047,0.7508670503793234
beagle,5%,19, 40%~50%,22028.0,0.7836658302656123,0.848587849532041,0.7508531274946885,0.7508997502209241,0.7508734118539495,0.002047999238508691,0.0014152276233894963,0.0023661831595544434,0.002366008311381357,0.0023694472589281387,0.8928059400066548,0.9113474535335963,0.7508788173714792,0.7508780091432047,0.7508670503793234
beagle,5%,19, Overall,196443.0,0.8928059400066548,0.9113474535335963,0.7508788173714792,0.7508780091432047,0.7508670503793234,0.0004556539992071145,0.0004136122014439033,0.00108215086358583,0.0010819466957307964,0.0010738293513925736,0.8928059400066548,0.9113474535335963,0.7508788173714792,0.7508780091432047,0.7508670503793234
beagle,15%,19, 0.1%~0.5%,6837.0,0.9863332757145834,0.8689787385428266,0.7464269074621906,0.749132207270399,0.7477521176677144,0.00040549739968351995,0.003290824076658495,0.007191355775552398,0.00800481344309933,0.007560517475222348,0.8900226127742507,0.9073610556217796,0.7451355772447169,0.74501874112969,0.7450656919598225
beagle,15%,19, 0.5%~1%,7548.0,0.98523088596618,0.8838449096273582,0.7439165143526688,0.7449095281144542,0.7443978704364956,0.0005893322008413472,0.004954882634942851,0.009989737278548462,0.010028462981702558,0.010020175625893487,0.8900226127742507,0.9073610556217796,0.7451355772447169,0.74501874112969,0.7450656919598225
beagle,15%,19, 1%~10%,68923.0,0.9608123294374619,0.9142374204015153,0.7440596245064411,0.7438876765216214,0.7439636394403318,0.00019824647006186648,0.00048129256348606545,0.0013002689266223984,0.0013539953001091866,0.0013190645832107356,0.8900226127742507,0.9073610556217796,0.7451355772447169,0.74501874112969,0.7450656919598225
beagle,15%,19, 10%~20%,40538.0,0.888449034725368,0.905407297383176,0.7450416679959733,0.7447558041854112,0.7448768050633293,0.001739192873485426,0.0013993650428691976,0.004022996176224168,0.004024762738080582,0.004009297610143021,0.8900226127742507,0.9073610556217796,0.7451355772447169,0.74501874112969,0.7450656919598225
beagle,15%,19, 20%~30%,26936.0,0.8319526757026757,0.8848735374191095,0.7447458490697761,0.744756702191923,0.744741223143802,0.0033431085453950104,0.0022667672844083457,0.005083990999145956,0.005070081928057922,0.0050755702995243165,0.8900226127742507,0.9073610556217796,0.7451355772447169,0.74501874112969,0.7450656919598225
beagle,15%,19, 30%~40%,23633.0,0.7974625235129614,0.8603649044353867,0.7443543799567779,0.7445247298294625,0.7444129085586031,0.0026815072444910594,0.0018573486547640854,0.0034361006281629944,0.003424227378893756,0.0034074148128604037,0.8900226127742507,0.9073610556217796,0.7451355772447169,0.74501874112969,0.7450656919598225
beagle,15%,19, 40%~50%,22028.0,0.779222105749707,0.843479384519378,0.7457178824958045,0.7459707664556984,0.745838475511002,0.0038110584515150124,0.002507533068913401,0.004414316733348034,0.004400431411522867,0.004403337278943019,0.8900226127742507,0.9073610556217796,0.7451355772447169,0.74501874112969,0.7450656919598225
beagle,15%,19, Overall,196443.0,0.8900226127742507,0.9073610556217796,0.7451355772447169,0.74501874112969,0.7450656919598225,0.0012977742541701936,0.0010693612468485488,0.003040539130012069,0.003022419789591143,0.00302675237751976,0.8900226127742507,0.9073610556217796,0.7451355772447169,0.74501874112969,0.7450656919598225
beagle,25%,19, 0.1%~0.5%,6837.0,0.9858313277576113,0.8617502132485505,0.7375542906334241,0.7405118243329278,0.7387690243714197,9.647698818388234e-05,0.003626202286138651,0.0025268282271603375,0.002437989039012967,0.00215832447404107,0.8913595338550669,0.9067523861001936,0.748919475341625,0.7486620199513098,0.7487763959728113
beagle,25%,19, 0.5%~1%,7548.0,0.9853473125531949,0.880322756898206,0.7477515471276628,0.7478750082792659,0.7478003130676427,0.0005468679273512992,0.0033505961354194183,0.009736814527350562,0.009967344034740618,0.009870354907253222,0.8913595338550669,0.9067523861001936,0.748919475341625,0.7486620199513098,0.7487763959728113
beagle,25%,19, 1%~10%,68923.0,0.9605424850480929,0.910806226920403,0.7441484282973169,0.7432847928880997,0.7437103150788112,0.0007402146418589595,0.0013425493694042157,0.004916172913804736,0.00487253943868409,0.004892743308469998,0.8913595338550669,0.9067523861001936,0.748919475341625,0.7486620199513098,0.7487763959728113
beagle,25%,19, 10%~20%,40538.0,0.8895774185687353,0.9046401925035769,0.7484170606852484,0.7479745994899675,0.7481526264559756,0.0024415496814381133,0.0019455969920552795,0.005631241714527171,0.005600971892642705,0.005625494307797619,0.8913595338550669,0.9067523861001936,0.748919475341625,0.7486620199513098,0.7487763959728113
beagle,25%,19, 20%~30%,26936.0,0.8346023346023346,0.8847633237192946,0.7491645814288258,0.7491690114325906,0.7491511709311114,0.0033177558148291338,0.002165050978925723,0.005073281340242421,0.005047577244100531,0.005061953505954714,0.8913595338550669,0.9067523861001936,0.748919475341625,0.7486620199513098,0.7487763959728113
beagle,25%,19, 30%~40%,23633.0,0.8013015313717721,0.8608398728999115,0.7493175749350357,0.7496050801313908,0.7494481042330129,0.0036111868472785,0.0023340888994319983,0.004547773876928119,0.00454164186418177,0.004547884765316632,0.8913595338550669,0.9067523861001936,0.748919475341625,0.7486620199513098,0.7487763959728113
beagle,25%,19, 40%~50%,22028.0,0.7826695087794597,0.8435645492734926,0.749633065744648,0.7500970538781991,0.7498556239125661,0.004315155626492355,0.0027978345232006906,0.004989306901977141,0.004964670809357191,0.004980711204487609,0.8913595338550669,0.9067523861001936,0.748919475341625,0.7486620199513098,0.7487763959728113
beagle,25%,19, Overall,196443.0,0.8913595338550669,0.9067523861001936,0.748919475341625,0.7486620199513098,0.7487763959728113,0.002118914098792881,0.001641653282617602,0.004942940875943236,0.0049174429340387285,0.004934404891262123,0.8913595338550669,0.9067523861001936,0.748919475341625,0.7486620199513098,0.7487763959728113
beagle,5%,20, 0.1%~0.5%,7397.0,0.9863376225414889,0.893201104703051,0.7476332023509188,0.7478786888488829,0.7476479965015826,0.00011390367720978534,0.0007125846493406128,0.0023333803840009954,0.0024825231831243954,0.0023596051848032962,0.8924558380008617,0.9128241536916127,0.7494263433306984,0.74942604854879,0.7494234467372717
