Model,Dataset,Segment_Length,Overlap,Missingness,MAF_Bin,Num_SNPs,Bin_Acc,Bin_R2,Bin_Precision,Bin_Recall,Bin_F1,Overall_Acc,Overall_R2,Overall_Precision,Overall_Recall,Overall_F1
BiUNet,1KGP,128,16,0.15,1%~10%,90533,0.996090333,0.969763,0.989140333,0.973047667,0.980962667,0.996532,0.984388333,0.991116333,0.98556,0.988321333
BiUNet,1KGP,128,16,0.15,10%~20%,17410,0.992683667,0.984858667,0.989857333,0.988899667,0.989378,0.996532,0.984388333,0.991116333,0.98556,0.988321333
BiUNet,1KGP,128,16,0.15,20%~30%,11479,0.991496333,0.983640667,0.990435667,0.990364,0.9904,0.996532,0.984388333,0.991116333,0.98556,0.988321333
BiUNet,1KGP,128,16,0.15,30%~40%,9555,0.991512667,0.983634333,0.991228333,0.991344,0.991286667,0.996532,0.984388333,0.991116333,0.98556,0.988321333
BiUNet,1KGP,128,16,0.15,40%~50%,8010,0.991196,0.98213,0.991108667,0.991172,0.99114,0.996532,0.984388333,0.991116333,0.98556,0.988321333
BiUNet,1KGP,128,16,0.25,0.1%~0.5%,62625,0.997741,0.849482667,0.990250333,0.858215333,0.914210333,0.993193667,0.969382,0.983952667,0.970638,0.977196
BiUNet,1KGP,128,16,0.25,0.5%~1%,41501,0.996233,0.861933667,0.984536,0.877843,0.924829333,0.993193667,0.969382,0.983952667,0.970638,0.977196
BiUNet,1KGP,128,16,0.25,1%~10%,90533,0.992797667,0.944291667,0.980919333,0.949228,0.964544333,0.993193667,0.969382,0.983952667,0.970638,0.977196
BiUNet,1KGP,128,16,0.25,10%~20%,17410,0.986591667,0.972049,0.981926,0.979195667,0.980555,0.993193667,0.969382,0.983952667,0.970638,0.977196
BiUNet,1KGP,128,16,0.25,20%~30%,11479,0.984413333,0.969948667,0.982647667,0.982193333,0.98242,0.993193667,0.969382,0.983952667,0.970638,0.977196
BiUNet,1KGP,128,16,0.25,30%~40%,9555,0.984393333,0.969713,0.983907667,0.984061333,0.983984333,0.993193667,0.969382,0.983952667,0.970638,0.977196
BiUNet,1KGP,128,16,0.25,40%~50%,8010,0.983807333,0.966945,0.983653667,0.983756333,0.983704,0.993193667,0.969382,0.983952667,0.970638,0.977196
