method,missing,MAF_bin,Num_SNPs,Bin_Acc,Bin_R2,Bin_Precision,Bin_Recall,Bin_F1,Bin_Acc_sd,Bin_R2_sd,Bin_Precision_sd,Bin_Recall_sd,Bin_F1_sd
beagle,5%, 30%~40%,1014561.0,0.801274781841007,0.865906248805082,0.7493940121915514,0.7494239522436335,0.7494038078769768,0.00047962735868332967,0.0003080452676299967,0.0005964441058470038,0.0005961145764674085,0.0005974650596383448
beagle,5%, 40%~50%,934350.0,0.7835752613630284,0.849353651871202,0.7493553980516481,0.7493962465039395,0.7493702727351593,0.00046533751974127586,0.00031062579791255724,0.0005320786942216491,0.000531635789909952,0.0005313684231588063
beagle,5%, Overall,8502275.0,0.8936116429800472,0.9163389258827032,0.7494229273224066,0.7494223831985565,0.7494201339140186,0.00018761080188822658,0.00014922152808463074,0.0004370203871494647,0.00043717195050433163,0.0004372346019265005
beagle,15%, 0.1%~0.5%,314228.0,0.9864228338735704,0.918937816605547,0.7473938324847422,0.7483473751802899,0.7477301371743561,7.288321278247956e-05,0.00046079379673643505,0.0013077930822845652,0.0013202333105900841,0.0013447320050560805
beagle,15%, 0.5%~1%,341641.0,0.9847443750319869,0.9348561645555812,0.7472818030158127,0.7481008611138408,0.7476039848778613,3.11297712099696e-05,0.00022128480313572042,0.0004613662655905243,0.0004469609932689756,0.0004753307540850131
beagle,15%, 1%~10%,3101005.0,0.9607824232740189,0.9384925664238501,0.7486432164935409,0.7483443508883775,0.7484806291365677,2.343508771380485e-05,5.462219482963299e-05,0.00015609796972032325,0.00014909516978101278,0.0001541969870180558
beagle,15%, 10%~20%,1631602.0,0.889249171840147,0.9130235198622884,0.7486498459715047,0.748436178544284,0.7485374331982525,5.4740886207657836e-05,3.565376057363362e-05,0.0001248772061083591,0.00012443174185075502,0.0001244653304884421
beagle,15%, 20%~30%,1164888.0,0.8353523270178348,0.8878570537515363,0.7487574201144224,0.7487684192539613,0.7487586541727885,0.00025091313122789223,0.0001687198805192972,0.0003772340948366362,0.000378661600051638,0.00037735682153968705
beagle,15%, 30%~40%,1014561.0,0.8005947444712094,0.863883964242132,0.7486343114874594,0.7487674399938643,0.7486959714785977,0.0006478703439173563,0.0004364376807825044,0.0008179254421585477,0.0008161100268422017,0.0008175587671833296
beagle,15%, 40%~50%,934350.0,0.7829358766668127,0.8472674536679325,0.7485936564729302,0.7487891889525654,0.7486862286701031,0.0008525685830321128,0.0005674654919397477,0.0009903265266734613,0.0009881958844688747,0.0009892446944569219
beagle,15%, Overall,8502275.0,0.8931212875912089,0.9147249897120475,0.7488495107178658,0.7487425958050586,0.7487937538184891,0.00019740338267876045,0.0001568099019344034,0.00046287720527372065,0.0004638331228615462,0.0004633654627947969
beagle,25%, 0.1%~0.5%,314228.0,0.986426016276157,0.9173746504084909,0.7485826189245769,0.7494206543482703,0.7488778447378999,8.654116589014407e-05,0.0005036028061657449,0.0016537964851352691,0.0016541337139624566,0.0016231863282978167
beagle,25%, 0.5%~1%,341641.0,0.984760074659267,0.9331592592085719,0.7493120039191868,0.7496453095102696,0.7493995556344384,0.00012305210844385759,0.0005657280052188793,0.001999195137865023,0.0020009883431754754,0.0020082342159905672
beagle,25%, 1%~10%,3101005.0,0.9604698266686075,0.9364812153304386,0.7481760021602826,0.7472435472758608,0.7476939651121799,8.403899797341399e-05,0.00013010356615695252,0.0005120957677243862,0.0005053271040072696,0.0005080566384529719
beagle,25%, 10%~20%,1631602.0,0.8887466168684259,0.9113821862550587,0.7481094498179556,0.7477377984344006,0.7479174666265944,0.0004720348580928259,0.00036534236237107233,0.0010674545755119942,0.0010632552770668442,0.0010671975403665954
beagle,25%, 20%~30%,1164888.0,0.8348356236822766,0.8861853515560005,0.7482257960803507,0.7482548256848484,0.74823441207737,0.0004966077822223792,0.00031783741421888837,0.0007530437360498087,0.0007511983576260489,0.0007512359697271593
