method,missing,MAF_bin,Num_SNPs,Bin_Acc,Bin_R2,Bin_Precision,Bin_Recall,Bin_F1,Bin_Acc_sd,Bin_R2_sd,Bin_Precision_sd,Bin_Recall_sd,Bin_F1_sd
biunet,15%, 40%~50%,609106.0,0.9637568582769127,0.8919040043624937,0.9658913463403392,0.963257346947846,0.9643497705586075,1.0847734573450737e-05,2.325076269463685e-05,9.704621218672932e-06,1.115030494034525e-05,1.0612257714134546e-05
biunet,15%, Overall,17365621.0,0.9875232926099723,0.9293206254075129,0.9796927225731613,0.9464255914771695,0.962496067736191,1.0740636498827358e-06,9.7413622994425e-06,4.643236287720603e-06,3.541992671561422e-06,3.945600086398536e-06
biunet,25%, 0.1%~0.5%,4579678.0,0.9950506075811129,0.7029328935640026,0.8247636751504648,0.8462028516127195,0.8344402442364842,6.318579594467816e-07,0.0001512638228542822,3.719323767603703e-05,2.9366344078663713e-05,2.7111814999685823e-05
biunet,25%, 0.5%~1%,3014809.0,0.9930514671522186,0.7982765053030959,0.8976821231534288,0.849011063461916,0.8711551484555793,1.6997857335874262e-07,4.212272319289751e-05,1.758146765970893e-06,7.1918468110051195e-06,5.4362826188808255e-06
biunet,25%, 1%~10%,6242570.0,0.9819673246313139,0.8644096950624468,0.9660262224686765,0.8684038052444438,0.9119362527069129,3.8449896495669733e-07,9.38423924731428e-06,1.0053960093179094e-05,5.670661871773936e-06,9.629075926162835e-07
biunet,25%, 10%~20%,1353480.0,0.9414838239074502,0.8405541356479039,0.9631697318090128,0.88432845937854,0.9192705263655127,5.376828469497073e-06,7.874964022076743e-06,7.720974839715223e-06,6.786712237261775e-06,6.474641845260694e-06
biunet,25%, 20%~30%,879876.0,0.9281021500200907,0.8191787123355524,0.9476693528993012,0.9072434011995562,0.9252207921066103,2.1246678684761016e-06,1.6984541567222703e-05,2.8699979883863113e-06,2.016282070554119e-06,2.245454225187943e-06
biunet,25%, 30%~40%,686102.0,0.9317571640060954,0.814731226819855,0.9417535299207219,0.9271513822426524,0.9334403532523798,9.977549985107715e-06,1.2522511880170685e-05,6.5418615116272845e-06,1.0307567843436026e-05,8.713706122270704e-06
biunet,25%, 40%~50%,609106.0,0.9357846385076058,0.8136160367468178,0.9403987060686022,0.9348900192194,0.936951935483736,1.1433208415756896e-05,6.0108935459355006e-05,1.113638515345377e-05,1.0405168880412919e-05,1.0637233802725923e-05
biunet,25%, Overall,17365621.0,0.9778537988292114,0.8760353473651404,0.964002859948237,0.9037314902112858,0.9319237316836273,7.697724127331638e-07,7.271810386565959e-06,2.7008668921854096e-06,1.4302119423668923e-06,7.417425754116097e-07
beagle,5%, 0.1%~0.5%,4579678.0,0.9961464489831625,0.925277939969642,0.7498612007343456,0.7505539425696162,0.7501982366214214,7.424723315735485e-06,0.00015846553083720516,0.00048030184452632017,0.0004837239767839134,0.00048181102573765583
beagle,5%, 0.5%~1%,3014809.0,0.9927814990022922,0.9347606025366652,0.7501027570738471,0.7505718114429025,0.7503316109141821,2.6238104394441895e-05,0.00023972698230571464,0.0009007792567920565,0.0009003726339912606,0.000899926372826004
