Model,Dataset,Segment_Length,Overlap,Missingness,MAF_Bin,Num_SNPs,Bin_Acc,Bin_R2,Bin_Precision,Bin_Recall,Bin_F1,Overall_Acc,Overall_R2,Overall_Precision,Overall_Recall,Overall_F1,MAF_bin
Beagle,LOS,-1,0,0.15,,43321,0.992715014930489,0.8082932044924652,0.7457462921198411,0.7441506858582088,0.7449397252327138,0.9558785166255171,0.8165119549920772,0.7487385746427756,0.7484312429143183,0.7485841549517418, 0.5%~1%
Beagle,LOS,-1,0,0.15,,87563,0.9701373934601872,0.8087881789733325,0.7474634372513325,0.7466828851714228,0.747071197389941,0.9558785166255171,0.8165119549920772,0.7487385746427756,0.7484312429143183,0.7485841549517418, 1%~10%
Beagle,LOS,-1,0,0.15,,17259,0.8788771721454519,0.8110574374276118,0.7487899906716754,0.748644203059614,0.7487166063229409,0.9558785166255171,0.8165119549920772,0.7487385746427756,0.7484312429143183,0.7485841549517418, 10%~20%
Beagle,LOS,-1,0,0.15,,11414,0.8174931990542583,0.8112658536980702,0.7482204480355574,0.7483649083252156,0.7482921299924948,0.9558785166255171,0.8165119549920772,0.7487385746427756,0.7484312429143183,0.7485841549517418, 20%~30%
Beagle,LOS,-1,0,0.15,,9073,0.7775242426519235,0.8122603162428468,0.7484822595611591,0.748755649708715,0.7486183986532496,0.9558785166255171,0.8165119549920772,0.7487385746427756,0.7484312429143183,0.7485841549517418, 30%~40%
Beagle,LOS,-1,0,0.15,,8187,0.7591941549308779,0.8136518122601901,0.7492661957336945,0.7496258835774742,0.7494445497436529,0.9558785166255171,0.8165119549920772,0.7487385746427756,0.7484312429143183,0.7485841549517418, 40%~50%
BiUNet,LOS,128,16,0.25,,80535,0.998774541408179,0.8178728238021321,0.990364130351086,0.9071924527680428,0.9450003659211696,0.995419782567414,0.8748341060271403,0.9858346154988687,0.9818187244646904,0.9838176827732308, 0.1%~0.5%
BiUNet,LOS,128,16,0.25,,43321,0.997632747994323,0.835466167473462,0.984107326006386,0.9264276096323104,0.953479489042616,0.995419782567414,0.8748341060271403,0.9858346154988687,0.9818187244646904,0.9838176827732308, 0.5%~1%
BiUNet,LOS,128,16,0.25,,87563,0.9948393806705478,0.8987375365822577,0.9820482140728632,0.967528315549778,0.9746800913380428,0.995419782567414,0.8748341060271403,0.9858346154988687,0.9818187244646904,0.9838176827732308, 1%~10%
BiUNet,LOS,128,16,0.25,,17259,0.9897175087061024,0.9576629892036392,0.9844860377886384,0.9866811818238956,0.985577572655304,0.995419782567414,0.8748341060271403,0.9858346154988687,0.9818187244646904,0.9838176827732308, 10%~20%
BiUNet,LOS,128,16,0.25,,11414,0.988188338672922,0.9681393617463764,0.9859303024648174,0.9882206783227476,0.9870641571110966,0.995419782567414,0.8748341060271403,0.9858346154988687,0.9818187244646904,0.9838176827732308, 20%~30%
BiUNet,LOS,128,16,0.25,,9073,0.9875951645962706,0.972434730998609,0.9868545577833024,0.9880577910844096,0.9874403231323516,0.995419782567414,0.8748341060271403,0.9858346154988687,0.9818187244646904,0.9838176827732308, 30%~40%
BiUNet,LOS,128,16,0.25,,8187,0.987691232039926,0.974958557778512,0.9875411039322342,0.9878378684235308,0.9876691317590272,0.995419782567414,0.8748341060271403,0.9858346154988687,0.9818187244646904,0.9838176827732308, 40%~50%
Beagle,LOS,-1,0,0.25,,80535,0.9966337353695174,0.8080857200018374,0.7427616967367697,0.7368112013479646,0.7397447328737247,0.9551433666842216,0.8012815333656277,0.7459479479853309,0.7452308350987086,0.7455857371164387, 0.1%~0.5%
Beagle,LOS,-1,0,0.25,,43321,0.9925366536172476,0.791965067759998,0.7441084853238635,0.7406142502933928,0.7423350143015777,0.9551433666842216,0.8012815333656277,0.7459479479853309,0.7452308350987086,0.7455857371164387, 0.5%~1%
Beagle,LOS,-1,0,0.25,,87563,0.9695983954076748,0.7974405047743921,0.7452862348299254,0.7435126060095426,0.744390002339097,0.9551433666842216,0.8012815333656277,0.7459479479853309,0.7452308350987086,0.7455857371164387, 1%~10%
Beagle,LOS,-1,0,0.25,,17259,0.8768510889563174,0.8037999344956633,0.7456360778691349,0.745269062324491,0.7454500930797631,0.9551433666842216,0.8012815333656277,0.7459479479853309,0.7452308350987086,0.7455857371164387, 10%~20%
Beagle,LOS,-1,0,0.25,,11414,0.814908769954902,0.805313350529291,0.7449947418658844,0.745284836036537,0.7451370863715527,0.9551433666842216,0.8012815333656277,0.7459479479853309,0.7452308350987086,0.7455857371164387, 20%~30%
Beagle,LOS,-1,0,0.25,,9073,0.7744178445330404,0.8065231528713803,0.74485356644948,0.7454773268627839,0.7451626645402445,0.9551433666842216,0.8012815333656277,0.7459479479853309,0.7452308350987086,0.7455857371164387, 30%~40%
Beagle,LOS,-1,0,0.25,,8187,0.7553802868557546,0.8079889918123871,0.7449096682377119,0.7457287563317123,0.7453157346675817,0.9551433666842216,0.8012815333656277,0.7459479479853309,0.7452308350987086,0.7455857371164387, 40%~50%
