Model,Dataset,Segment_Length,Overlap,Missingness,MAF_Bin,Num_SNPs,Bin_Acc,Bin_R2,Bin_IQS,Bin_Precision,Bin_Recall,Bin_F1,Overall_Acc,Overall_R2,Overall_IQS,Overall_Precision,Overall_Recall,Overall_F1
3,1KG,128,4,0.05,>=50%,1260,0.992624,0.981758,0.988066,0.992284,0.992813,0.992195,0.996276,0.984058,0.989424,0.995075,0.990766,0.992908
3,1KG,128,4,0.15,0.5%~1%,25079,0.995682,0.966823,0.815323,0.902314,0.912942,0.905996,0.989061,0.950662,0.968661,0.98851,0.971591,0.97989
3,1KG,128,4,0.15,1%~10%,44351,0.990731,0.884579,0.919616,0.978678,0.94224,0.954549,0.989061,0.950662,0.968661,0.98851,0.971591,0.97989
3,1KG,128,4,0.15,10%~20%,17825,0.986818,0.941087,0.965646,0.980149,0.968836,0.972743,0.989061,0.950662,0.968661,0.98851,0.971591,0.97989
3,1KG,128,4,0.15,20%~30%,11696,0.984251,0.950659,0.969868,0.984935,0.974963,0.977855,0.989061,0.950662,0.968661,0.98851,0.971591,0.97989
3,1KG,128,4,0.15,30%~40%,9348,0.982104,0.952013,0.969509,0.984843,0.977727,0.979908,0.989061,0.950662,0.968661,0.98851,0.971591,0.97989
3,1KG,128,4,0.15,40%~50%,6780,0.980352,0.950577,0.968101,0.982061,0.979302,0.979491,0.989061,0.950662,0.968661,0.98851,0.971591,0.97989
3,1KG,128,4,0.15,>=50%,1260,0.973343,0.930771,0.957054,0.972,0.974948,0.971479,0.989061,0.950662,0.968661,0.98851,0.971591,0.97989
3,1KG,128,4,0.25,0.5%~1%,25079,0.992685,0.910358,0.718329,0.849233,0.870434,0.856262,0.977257,0.893633,0.933821,0.978516,0.93996,0.958395
3,1KG,128,4,0.25,1%~10%,44351,0.983045,0.801018,0.85797,0.957003,0.901509,0.919423,0.977257,0.893633,0.933821,0.978516,0.93996,0.958395
3,1KG,128,4,0.25,10%~20%,17825,0.97165,0.873859,0.924672,0.961022,0.934732,0.943708,0.977257,0.893633,0.933821,0.978516,0.93996,0.958395
3,1KG,128,4,0.25,20%~30%,11696,0.964157,0.886043,0.930665,0.968792,0.943754,0.951287,0.977257,0.893633,0.933821,0.978516,0.93996,0.958395
3,1KG,128,4,0.25,30%~40%,9348,0.957382,0.884742,0.927314,0.967019,0.948816,0.953899,0.977257,0.893633,0.933821,0.978516,0.93996,0.958395
3,1KG,128,4,0.25,40%~50%,6780,0.953736,0.884365,0.925445,0.960466,0.952675,0.952559,0.977257,0.893633,0.933821,0.978516,0.93996,0.958395
3,1KG,128,4,0.25,>=50%,1260,0.941363,0.851236,0.906779,0.942054,0.946625,0.938114,0.977257,0.893633,0.933821,0.978516,0.93996,0.958395
3,1KG,128,4,0.5,0.5%~1%,25079,0.980068,0.598319,0.4455,0.697142,0.745841,0.711282,0.917879,0.597476,0.739235,0.925209,0.777411,0.836985
3,1KG,128,4,0.5,1%~10%,44351,0.953406,0.518814,0.623508,0.853474,0.761273,0.785048,0.917879,0.597476,0.739235,0.925209,0.777411,0.836985
3,1KG,128,4,0.5,10%~20%,17825,0.899184,0.573168,0.713993,0.871324,0.776208,0.801569,0.917879,0.597476,0.739235,0.925209,0.777411,0.836985
3,1KG,128,4,0.5,20%~30%,11696,0.852489,0.56287,0.703028,0.885639,0.779514,0.803181,0.917879,0.597476,0.739235,0.925209,0.777411,0.836985
3,1KG,128,4,0.5,30%~40%,9348,0.81275,0.539826,0.679204,0.883917,0.783163,0.797915,0.917879,0.597476,0.739235,0.925209,0.777411,0.836985
3,1KG,128,4,0.5,40%~50%,6780,0.791495,0.535507,0.673247,0.861685,0.796235,0.790496,0.917879,0.597476,0.739235,0.925209,0.777411,0.836985
3,1KG,128,4,0.5,>=50%,1260,0.760987,0.491224,0.642383,0.827563,0.790376,0.759181,0.917879,0.597476,0.739235,0.925209,0.777411,0.836985
4,1KG,96,4,0.05,0.5%~1%,25079,0.99792,0.97978,0.926486,0.955423,0.963695,0.958119,0.99,0.948378,0.971354,0.985504,0.967032,0.976084
4,1KG,96,4,0.05,1%~10%,44351,0.994506,0.939498,0.959105,0.982566,0.963946,0.970245,0.99,0.948378,0.971354,0.985504,0.967032,0.976084
4,1KG,96,4,0.05,10%~20%,17825,0.987652,0.944326,0.968474,0.976633,0.965292,0.968753,0.99,0.948378,0.971354,0.985504,0.967032,0.976084
4,1KG,96,4,0.05,20%~30%,11696,0.981891,0.938449,0.96553,0.98103,0.967422,0.970981,0.99,0.948378,0.971354,0.985504,0.967032,0.976084
4,1KG,96,4,0.05,30%~40%,9348,0.976719,0.927657,0.960422,0.980522,0.968285,0.972011,0.99,0.948378,0.971354,0.985504,0.967032,0.976084
4,1KG,96,4,0.05,40%~50%,6780,0.973683,0.919728,0.957297,0.976151,0.97052,0.971213,0.99,0.948378,0.971354,0.985504,0.967032,0.976084
4,1KG,96,4,0.05,>=50%,1260,0.96855,0.90034,0.949309,0.965886,0.969613,0.965072,0.99,0.948378,0.971354,0.985504,0.967032,0.976084
4,1KG,96,4,0.15,0.5%~1%,25079,0.993368,0.903459,0.801742,0.88408,0.913595,0.893054,0.971861,0.850808,0.917415,0.969833,0.917376,0.942046
4,1KG,96,4,0.15,1%~10%,44351,0.984313,0.828807,0.883045,0.954396,0.913205,0.925844,0.971861,0.850808,0.917415,0.969833,0.917376,0.942046
4,1KG,96,4,0.15,10%~20%,17825,0.964442,0.838004,0.906868,0.94821,0.913588,0.924963,0.971861,0.850808,0.917415,0.969833,0.917376,0.942046
4,1KG,96,4,0.15,20%~30%,11696,0.948994,0.824225,0.901495,0.956672,0.917295,0.92902,0.971861,0.850808,0.917415,0.969833,0.917376,0.942046
4,1KG,96,4,0.15,30%~40%,9348,0.936623,0.803345,0.891977,0.95338,0.92081,0.929965,0.971861,0.850808,0.917415,0.969833,0.917376,0.942046
4,1KG,96,4,0.15,40%~50%,6780,0.928405,0.784099,0.884952,0.939839,0.92512,0.925076,0.971861,0.850808,0.917415,0.969833,0.917376,0.942046
4,1KG,96,4,0.15,>=50%,1260,0.917927,0.751154,0.870421,0.918202,0.925575,0.911194,0.971861,0.850808,0.917415,0.969833,0.917376,0.942046
4,1KG,96,4,0.25,0.5%~1%,25079,0.986362,0.770282,0.662296,0.803838,0.858305,0.819055,0.951453,0.744709,0.85432,0.946248,0.864706,0.901493
4,1KG,96,4,0.25,1%~10%,44351,0.972296,0.70997,0.796644,0.912546,0.86083,0.873996,0.951453,0.744709,0.85432,0.946248,0.864706,0.901493
4,1KG,96,4,0.25,10%~20%,17825,0.939908,0.731974,0.839391,0.91567,0.860826,0.877718,0.951453,0.744709,0.85432,0.946248,0.864706,0.901493
4,1KG,96,4,0.25,20%~30%,11696,0.913673,0.711962,0.831209,0.928064,0.864123,0.881456,0.951453,0.744709,0.85432,0.946248,0.864706,0.901493
4,1KG,96,4,0.25,30%~40%,9348,0.892599,0.683503,0.816554,0.924637,0.868199,0.881543,0.951453,0.744709,0.85432,0.946248,0.864706,0.901493
4,1KG,96,4,0.25,40%~50%,6780,0.878755,0.659683,0.806876,0.906542,0.876015,0.875174,0.951453,0.744709,0.85432,0.946248,0.864706,0.901493
4,1KG,96,4,0.25,>=50%,1260,0.864784,0.620159,0.790315,0.88002,0.878004,0.857207,0.951453,0.744709,0.85432,0.946248,0.864706,0.901493
4,1KG,96,4,0.5,0.5%~1%,25079,0.943456,0.270849,0.289643,0.544809,0.622187,0.558753,0.874438,0.37477,0.617832,0.738874,0.709677,0.717917
4,1KG,96,4,0.5,1%~10%,44351,0.916755,0.325739,0.489136,0.664258,0.629517,0.627319,0.874438,0.37477,0.617832,0.738874,0.709677,0.717917
4,1KG,96,4,0.5,10%~20%,17825,0.853909,0.403527,0.606757,0.730903,0.675303,0.675427,0.874438,0.37477,0.617832,0.738874,0.709677,0.717917
4,1KG,96,4,0.5,20%~30%,11696,0.79903,0.40183,0.603568,0.772331,0.708586,0.706731,0.874438,0.37477,0.617832,0.738874,0.709677,0.717917
4,1KG,96,4,0.5,30%~40%,9348,0.755158,0.380752,0.585298,0.791888,0.715769,0.715553,0.874438,0.37477,0.617832,0.738874,0.709677,0.717917
4,1KG,96,4,0.5,40%~50%,6780,0.724842,0.356351,0.573389,0.788611,0.725721,0.71169,0.874438,0.37477,0.617832,0.738874,0.709677,0.717917
4,1KG,96,4,0.5,>=50%,1260,0.69155,0.321747,0.544895,0.76368,0.724396,0.685661,0.874438,0.37477,0.617832,0.738874,0.709677,0.717917
5,1KG,64,4,0.05,0.5%~1%,25079,0.998007,0.979965,0.931025,0.954529,0.959564,0.956188,0.987091,0.931975,0.962885,0.978116,0.95355,0.965503
5,1KG,64,4,0.05,1%~10%,44351,0.99404,0.936791,0.957361,0.9765,0.955467,0.962805,0.987091,0.931975,0.962885,0.978116,0.95355,0.965503
5,1KG,64,4,0.05,10%~20%,17825,0.984776,0.932985,0.961201,0.968443,0.955596,0.958911,0.987091,0.931975,0.962885,0.978116,0.95355,0.965503
5,1KG,64,4,0.05,20%~30%,11696,0.976035,0.920727,0.95442,0.974354,0.95634,0.960709,0.987091,0.931975,0.962885,0.978116,0.95355,0.965503
5,1KG,64,4,0.05,30%~40%,9348,0.96796,0.903738,0.945441,0.974117,0.954809,0.960261,0.987091,0.931975,0.962885,0.978116,0.95355,0.965503
